,Day,Capital Start of Day,Ci-1 (Customers Start),mi (Delivery Spend),Mi (Marketing Spend),Growth Factor (G),Ci (Customers End),Total Orders,Capital End of Day,Growth Rate
0,1,15000000,1020000,8000000,6000000,1.002,1022014,243348,15600919,600919
1,2,15600919,1022014,8000000,6000000,1.002,1024033,243829,16230678,629758
2,3,16230678,1024033,8000000,6000000,1.002,1026055,244310,16889332,658654
3,4,16889332,1026055,8000000,6000000,1.002,1028082,244793,17576939,687607
4,5,17576939,1028082,8000000,6000000,1.002,1030113,245276,18293556,716617
5,6,18293556,1030113,8000000,6000000,1.002,1032147,245761,19039241,745684
6,7,19039241,1032147,7000000,6000000,1.0017,1033952,246191,20810705,1771464
7,8,20810705,1033952,7000000,6000000,1.0017,1035759,246621,22607995,1797289
8,9,22607995,1035759,7000000,6000000,1.0017,1037570,247052,24431155,1823160
9,10,24431155,1037570,7000000,6000000,1.0017,1039384,247484,26280231,1849075
10,11,26280231,1039384,7000000,5000000,1.0015,1040966,247861,29151898,2871667
11,12,29151898,1040966,7000000,5000000,1.0015,1042549,248238,32046193,2894294
12,13,32046193,1042549,7000000,5000000,1.0015,1044136,248615,34963148,2916955
13,14,34963148,1044136,7000000,5000000,1.0015,1045724,248994,37902798,2939650
14,15,37902798,1045724,7000000,4000000,1.0012,1047028,249304,41861073,3958274
15,16,41861073,1047028,7000000,4000000,1.0012,1048333,249615,45837994,3976921
16,17,45837994,1048333,7000000,4000000,1.0012,1049640,249926,49833585,3995591
17,18,49833585,1049640,7000000,4000000,1.0012,1050948,250238,53847869,4014284
18,19,53847869,1050948,6000000,4000000,1.001,1051961,250479,58876617,5028748
19,20,58876617,1051961,6000000,4000000,1.001,1052974,250720,63919843,5043225
20,21,63919843,1052974,6000000,4000000,1.001,1053988,250961,68977560,5057716
21,22,68977560,1053988,6000000,4000000,1.001,1055004,251203,74049782,5072222
22,23,74049782,1055004,6000000,3000000,1.0006,1055651,251357,80131251,6081468
23,24,80131251,1055651,6000000,3000000,1.0006,1056299,251512,86221971,6090720
24,25,86221971,1056299,6000000,3000000,1.0006,1056947,251666,92321949,6099977
25,26,92321949,1056947,6000000,3000000,1.0006,1057595,251820,98431190,6109241
26,27,98431190,1057595,5000000,3000000,1.0003,1057867,251885,105544323,7113133
27,28,105544323,1057867,5000000,3000000,1.0003,1058140,251950,112661349,7117025
28,29,112661349,1058140,5000000,3000000,1.0003,1058412,252015,119782269,7120919
29,30,119782269,1058412,5000000,3000000,1.0003,1058685,252080,126907084,7124814
